장르,게임명,시작,마무리,분류,총시간,raitng 구글 (or s for 스팀),만족도,몰입감,게임성,"그래픽",사운드,완성도,총점
"로그라이크, 시뮬레이션",against the storm,202509,,메인1,,,,,,,,,0
"멀티합동, 슈팅 액션",오버워치 2,202200,,메인2,~200,1.8,3.5,3,4,3.5,4,3.5,3.6
어드벤쳐,호그와트 레가시,,,,,,,,,,,,0
3D ARPG,컨트롤,,,대기중,,4.3,,,,,,,0
3D ARPG,GTA5,,,대기중,,4.4,,,,,,,0
"TRPG, 어드벤쳐",발더스 게이트 3,20250126,,잠시멈춤,30,4.2,,4,4.5,4.5,4,4.5,4.3
3D ARPG,몬스터 헌터 : 라이즈,,,대기중,,4.3,,,,,,,0
카드,스냅,202200,,잠시멈춤,~100,3.8,4,3.5,3.5,3,4,3,3.4
3D ARPG,몬스터 헌터 : 월드,20250126,,잠시멈춤,3,4.4,,,,,,,0
3D ARPG,폴아웃 3,202200,,잠시멈춤,,4.6,,,,,,,0
시뮬레이션,PC 빌딩 시뮬레이터,202200,,잠시멈춤,,s4.5,,,,,,,0
"생존, RTS",산소미포함,202300,,잠시멈춤,,4.7,,,,,,,0
"3D ARPG, 시뮬레이션",킹덤 컴 딜리버런스,20250801,,엔딩완료,53,4,1,2,2,1.5,3,1,1.9
어드벤쳐,언차티드,20250702,20250716,엔딩완료,21,4.8,4.5,4.5,4.5,5,5,3,4.4
3D ARPG,갓 오브 워,20250501,20250701,업적완료,49,4.8,4.8,4.5,4.5,5,3.5,3.5,4.2
스포츠,컴투스 프로야구 v25,20250329,20250415,중도폐기,~50,0,3.2,4,3,4.5,3.5,2,3.4
시뮬레이션,휴먼 카인드,20250726,20250727,중도폐기,5,3.5,,3,3,3.5,3,2,2.9
mmo rpg,마비노기 모바일,20250415,202505,중도폐기,~30,0,3,3,3,3.5,2.5,4,3.2
"3D ARPG, 소울라이크",세키로,20250102,20250126,업적완료,86,4.5,3.6,5,4,1,4.5,4,3.7
"3D ARPG, 슈팅 액션",데이즈곤,202411,202501,업적완료,103,4.7,4.4,4,4,4.5,3,5,4.1
3D ARPG,어크 발할라,202211,202411,업적완료,240,3.6,2.3,1,4,4.5,3.5,2,3
"3D ARPG, 소울라이크",엘든링,202311,202401,업적완료,137,4.3,3.9,5,4,1.5,3.5,4,3.6
"3D ARPG, 어드벤쳐",위쳐 3,202200,202312,업적완료,288,4.7,4.9,4.5,5,5,5,5,4.9
시뮬레이션,문명 6,,,엔딩완료,,4.5,,,,,,,0
시뮬레이션,문명 5,,,엔딩완료,,4.7,,,,,,,0
3D ARPG,툼레이더,,,,,4.8,,,,,,,0
3D ARPG,어크 2,,,,,4.8,,,,,,,0
3D ARPG,어크 브라더 후드,,,,,4.8,,,,,,,0
3D ARPG,파크라이 3,,,,,4.8,,,,,,,0
어드벤쳐,바이오 쇼크 1,,,,,4.7,,,,,,,0
어드벤쳐,플레이그 테일 이노센스,,,,,4.7,,,,,,,0
어드벤쳐,바이오 쇼크 2,,,,,4.6,,,,,,,0
3D ARPG,파크라이 4,,,,,4.6,,,,,,,0
3D ARPG,어크 4 블랙 플래그,,,,,4.6,,,,,,,0
3D ARPG,다잉라이트 1,,,,,4.6,,,,,,,0
3D ARPG,라이즈 오브 툼레이더,,,,,4.6,,,,,,,0
